id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
[1],铸信境界,青羊,173,19293,3室1厅1厨1卫,中楼层 (共28层),89.67㎡,平层,暂无数据,板塔结合,东,钢混结构,简装,两梯四户,有,70年,2019-10-27,商品房,2014-05-13,普通住宅,满五年,共有,无抵押,已上传房本照片
[1],蓝光COCO蜜城,青羊,245,29672,4室1厅1厨3卫,高楼层 (共30层),82.57㎡,跃层,58.63㎡,塔楼,东,钢混结构,毛坯,两梯九户,有,70年,2019-06-11,商品房,2014-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],蓝光COCO蜜城,青羊,185,20109,4室1厅1厨2卫,低楼层 (共20层),92㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,三梯七户,有,70年,2019-09-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],蓝光COCO蜜城,青羊,210,23770,3室1厅1厨2卫,中楼层 (共20层),88.35㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,三梯七户,有,70年,2018-05-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],铸信境界,青羊,240,17056,4室1厅1厨2卫,中楼层 (共27层),140.72㎡,平层,暂无数据,板塔结合,西 东,钢混结构,精装,两梯六户,有,70年,2019-11-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],铸信境界,青羊,202,22528,3室2厅1厨2卫,低楼层 (共28层),89.67㎡,平层,74.26㎡,板塔结合,南,钢混结构,简装,两梯四户,有,70年,2018-03-03,商品房,2010-07-13,普通住宅,满五年,共有,有抵押 50万元 建设银行 客户偿还,已上传房本照片
[1],二十一世纪花园一期,青羊,101,18594,2室1厅1厨1卫,中楼层 (共8层),54.32㎡,平层,54.32㎡,板塔结合,东,砖混结构,简装,一梯四户,无,70年,2019-10-17,商品房,2001-03-27,普通住宅,满五年,共有,无抵押,已上传房本照片
[1],双玺,青羊,170,24165,2室1厅1厨1卫,低楼层 (共18层),70.35㎡,平层,暂无数据,板塔结合,北,钢混结构,其他,两梯四户,有,70年,2019-12-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],艺水芳乡,青羊,278,20821,3室2厅1厨2卫,中楼层 (共11层),133.52㎡,平层,114.33㎡,平房,西,框架结构,精装,一梯三户,有,70年,2019-12-26,商品房,2018-08-31,普通住宅,未满两年,共有,无抵押,已上传房本照片
[1],香格里拉花园,青羊,163,17889,2室1厅1厨1卫,中楼层 (共11层),91.12㎡,平层,暂无数据,板楼,北,钢混结构,其他,一梯四户,有,70年,2019-12-29,商品房,2011-12-02,普通住宅,满五年,共有,无抵押,已上传房本照片
[1],城市物语,青羊,91,21667,2室1厅1厨1卫,中楼层 (共10层),42㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,四梯四十户,有,70年,2019-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],金沙揽胜一期,青羊,128,29507,2室1厅1厨1卫,低楼层 (共7层),43.38㎡,跃层,暂无数据,塔楼,北,钢混结构,其他,两梯十八户,有,70年,2020-02-14,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片
